crypto_id,crypto_name,last_value,last_closing_value,starting_range_value,ending_range_value,5_Day,1_Month,3_Month,1_Year,YTD
ZRXEUR,0x EUR,0.747,0.727,0.698,0.747,-20.62,-34.07,-12.01,,
ZRXUSD,0x USD,0.846,0.824,0.787,0.846,-20.11,-35.71,-15.65,,
AAVEEUR,Aave EUR,158.18,152.28,144.41,158.18,-21.27,-41.26,-40.44,,
AAVEUSD,Aave USD,178.4,172.88,163.05,178.4,-21.31,-41.93,-43.14,,101.56
GHSTEUR,Aavegotchi EUR,2.1575,2.1286,2.1107,2.1575,-11.00,15.24,48.78,,
GHSTUSD,Aavegotchi USD,2.3788,2.4137,2.3788,2.4367,-13.20,10.54,39.37,,
ALGOEUR,Algorand EUR,1.3928,1.3374,1.2672,1.3928,-10.24,-26.38,-12.92,,
ALGOUSD,Algorand USD,1.5759,1.517,1.4331,1.5759,-10.00,-27.20,-16.24,442.97,368.38
ANKREUR,Ankr EUR,0.09433,0.09375,0.08973,0.09433,-21.02,-12.37,16.38,,
ANKRUSD,Ankr USD,0.1065,0.1065,0.1006,0.1065,-21.14,-13.25,11.51,,
ANTEUR,Aragon EUR,3.8469,3.7024,3.6135,3.8469,-10.93,-16.26,-16.22,,
ANTUSD,Aragon USD,4.3777,4.1938,4.0765,4.3777,-10.18,-16.97,-18.93,51.94,44.89
REPEUR,Augur EUR,15.955,16.208,15.664,16.208,-14.73,-23.02,-27.83,,
REPUSD,Augur USD,17.813,18.195,17.501,18.404,-15.74,-24.70,-32.10,8.81,5.97
REPV2EUR,Augur v2 EUR,15.605,15.338,14.916,15.605,-16.52,-23.99,-27.67,,
REPV2USD,Augur v2 USD,17.642,17.479,16.81,17.642,-15.11,-25.06,-30.66,19.93,7.08
AXSEUR,Axie Infinity Shards EUR,91.95,90.42,84.87,91.95,-20.04,-25.98,65.21,,
AXSUSD,Axie Infinity Shards USD,103.65,100.24,95.87,103.65,-20.12,-27.20,58.01,,
BALEUR,Balancer EUR,13.64,13.4,12.81,13.64,-19.58,-35.39,-33.88,,
BALUSD,Balancer USD,15.46,15.16,14.48,15.46,-18.97,-36.17,-36.85,36.94,13.43
BNTEUR,Bancor EUR,3.006,2.93,2.864,3.006,-11.43,-26.18,-8.33,,
BNTUSD,Bancor USD,3.401,3.341,3.274,3.401,-11.04,-26.77,-11.34,,
BANDEUR,Band Protocol EUR,4.711,4.706,4.5,4.711,-30.21,-37.44,-34.11,,
BANDUSD,Band Protocol USD,5.165,5.402,5.01,5.402,-32.43,-40.29,-37.24,,
BATEUR,Basic Attention Token EUR,1.0135,0.9696,0.914,1.0135,-11.20,1.00,57.56,,
BATUSD,Basic Attention Token USD,1.1451,1.096,1.032,1.1451,-11.02,-0.09,51.44,463.71,474.14
BTCAED,Bitcoin AED,181028.0,176245.0,172192.0,181028.0,-8.17,-23.08,9.30,172.21,70.16
BTCAFN,Bitcoin AFN,4827444.0,4700034.0,4591930.0,4827444.0,-6.45,-17.61,26.41,246.36,115.60
BTCALL,Bitcoin ALL,5272142.0,5127092.0,5009165.0,5272142.0,-8.15,-22.96,13.58,185.47,80.83
BTCAMD,Bitcoin AMD,24318781.0,23766825.0,23220168.0,24318781.0,-7.74,-20.20,9.40,178.88,60.55
BTCANG,Bitcoin ANG,88788.0,86444.0,84456.0,88788.0,-8.20,-23.13,9.70,173.13,70.79
BTCAOA,Bitcoin AOA,28007503.0,27268310.0,26641116.0,28007503.0,-7.64,-26.77,-0.67,134.55,47.64
BTCARS,Bitcoin ARS,5001523.0,4870359.0,4757516.0,5001523.0,-7.84,-22.08,13.05,236.29,105.34
BTCAUD,Bitcoin AUD,68709.0,66905.0,65359.0,68709.0,-10.33,-21.35,12.01,185.99,82.87
BTCAWG,Bitcoin AWG,88713.0,86371.0,84385.0,88713.0,-8.20,-23.09,9.26,172.20,70.15
BTCAZN,Bitcoin AZN,83824.0,81611.0,79734.0,83824.0,-8.17,-23.08,9.29,171.93,69.98
BTCBAM,Bitcoin BAM,85190.0,83259.0,81344.0,85190.0,-8.21,-22.21,14.29,191.54,84.62
BTCBBD,Bitcoin BBD,98570.0,95968.0,93761.0,98570.0,-8.17,-23.08,9.29,172.20,70.15
BTCBDT,Bitcoin BDT,4224993.0,4113484.0,4018870.0,4224993.0,-8.15,-23.14,9.94,175.38,72.34
BTCBGN,Bitcoin BGN,85279.0,83042.0,81130.0,85279.0,-8.39,-22.10,14.40,192.03,84.15
BTCBHD,Bitcoin BHD,18577.0,18089.0,17671.0,18577.0,-8.17,-23.10,9.30,172.14,70.14
BTCBIF,Bitcoin BIF,98520269.0,95920053.0,93713813.0,98520269.0,-7.99,-22.96,10.03,179.47,74.87
BTCBMD,Bitcoin BMD,49285.0,47984.0,46880.0,49285.0,-8.17,-23.08,9.29,172.20,70.15
BTCBND,Bitcoin BND,67293.0,65517.0,64010.0,67293.0,-8.45,-22.44,11.02,177.90,75.84
BTCBOB,Bitcoin BOB,338891.0,331204.0,323586.0,338891.0,-8.41,-23.31,9.00,172.58,69.96
BTCBRL,Bitcoin BRL,276610.0,269171.0,263135.0,276610.0,-8.83,-20.89,16.45,201.95,83.87
BTCBSD,Bitcoin BSD,49285.0,47984.0,46880.0,49285.0,-8.17,-23.08,9.29,172.20,70.15
BTCBTC,Bitcoin BTC,1.0,1.0,1.0,1.0,0.00,0.00,0.00,0.00,0.00
BTCBTN,Bitcoin BTN,3719287.0,3634874.0,3551269.0,3719287.0,-7.70,-22.06,12.34,178.30,75.77
BTCBWP,Bitcoin BWP,577740.0,564623.0,551636.0,577740.0,-8.55,-21.39,17.20,190.31,84.63
BTCBYR,Bitcoin BYR,986989263.0,960939947.0,938837542.0,986989263.0,-8.17,-23.08,9.29,172.20,70.15
BTCBZD,Bitcoin BZD,99305.0,96684.0,94461.0,99305.0,-8.20,-23.12,9.27,172.03,70.11
BTCCAD,Bitcoin CAD,62718.0,61041.0,59658.0,62718.0,-8.97,-21.98,9.68,171.27,70.15
BCHEUR,Bitcoin Cash EUR,408.21,397.92,382.76,408.21,-14.33,-29.56,-23.38,89.60,45.43
BCHUSD,Bitcoin Cash USD,460.68,449.27,432.81,460.68,-14.51,-30.46,-26.80,77.02,34.34
BTCCDF,Bitcoin CDF,98201633.0,95992029.0,93784134.0,98201633.0,-8.61,-23.77,9.66,175.18,72.00
BTCCHF,Bitcoin CHF,45379.0,44180.0,43158.0,45379.0,-7.89,-23.07,9.59,181.86,76.96
BTCCLF,Bitcoin CLF,1507.52,1467.74,1433.98,1507.52,-7.83,-18.94,16.99,212.87,102.12
BTCCLP,Bitcoin CLP,41605223.0,40507148.0,39575451.0,41605223.0,-7.81,-18.92,17.02,212.93,102.16
BTCCNY,Bitcoin CNY,40203.0,40203.0,40203.0,40203.0,0.00,0.00,0.00,0.00,0.00
BTCCOP,Bitcoin COP,191555092.0,186456746.0,182206957.0,191555092.0,-9.35,-22.95,10.35,209.16,92.34
BTCCRC,Bitcoin CRC,31334969.0,30623726.0,29919355.0,31334969.0,-7.08,-23.91,11.32,188.30,77.26
BTCCUP,Bitcoin CUP,1269083.0,1235588.0,1207169.0,1269083.0,-8.17,-23.08,9.29,172.20,70.15
BTCCVE,Bitcoin CVE,4823748.0,4696436.0,4588414.0,4823748.0,-8.48,-21.74,14.62,191.57,83.91
BTCCZK,Bitcoin CZK,1103893.0,1074696.0,1049885.0,1103893.0,-8.60,-21.87,14.11,180.16,77.42
BTCDJF,Bitcoin DJF,8737104.0,8541155.0,8344702.0,8737104.0,-8.56,-23.42,8.85,171.02,69.46
BTCDKK,Bitcoin DKK,323840.0,315275.0,308020.0,323840.0,-8.23,-22.20,14.08,191.21,83.50
BTCDOP,Bitcoin DOP,2788172.0,2723093.0,2660460.0,2788172.0,-8.30,-23.12,9.04,164.59,65.25
BTCDZD,Bitcoin DZD,6849648.0,6669924.0,6516649.0,6849648.0,-8.10,-22.69,11.56,187.53,79.06
BTCEEK,Bitcoin EEK,720013.0,701010.0,684886.0,720013.0,-8.17,-23.08,9.29,172.20,70.15
BTCEGP,Bitcoin EGP,774139.0,753661.0,736372.0,774139.0,-8.16,-23.15,9.28,172.22,69.82
BTCERN,Bitcoin ERN,739279.0,719768.0,703212.0,739279.0,-8.17,-23.08,9.26,172.21,70.13
BTCETB,Bitcoin ETB,2389473.0,2320987.0,2267602.0,2389473.0,-7.44,-21.16,14.81,244.30,109.64
BTCEUR,Bitcoin EUR,43549.0,42397.0,41419.0,43549.0,-8.24,-22.20,14.08,191.45,83.66
BTCEUR,Bitcoin EUR,43549.0,42397.0,41419.0,43549.0,-8.24,-22.20,14.08,191.45,83.66
BTCFJD,Bitcoin FJD,104974.0,102004.0,99658.0,104974.0,-8.06,-21.98,12.32,181.53,75.92
BTCFKP,Bitcoin FKP,37140.0,36162.0,35323.0,37140.0,-8.39,-22.20,13.93,171.32,75.35
BTCGBP,Bitcoin GBP,37140.0,36162.0,35323.0,37140.0,-8.39,-22.20,13.93,171.32,75.35
BTCGEL,Bitcoin GEL,152783.0,148750.0,145329.0,152783.0,-8.62,-24.06,8.88,156.48,60.56
BTCGHS,Bitcoin GHS,301869.0,293902.0,287142.0,301869.0,-7.95,-23.02,10.85,184.27,77.24
BTCGIP,Bitcoin GIP,37140.0,36162.0,35323.0,37140.0,-8.39,-22.20,13.93,171.32,75.35
BTCGMD,Bitcoin GMD,2584987.0,2516762.0,2458874.0,2584987.0,-8.09,-22.53,12.00,175.88,72.43
